Wall time,Step,Value
1693605642.742429,0,4520.33251953125
1693615086.2278762,25,1829.7972412109375
1693624449.106526,50,1181.98876953125
1693633811.3346255,75,901.2493896484375
1693643175.0711007,100,942.6290893554688
1693652479.638905,125,825.4534912109375
1693661816.583905,150,729.0715942382812
1693671207.892033,175,627.6409301757812
1693680664.7450001,200,503.2945251464844
1693690095.2665806,225,532.904541015625
1693699555.4256973,250,486.153076171875
1693709047.261436,275,443.17376708984375
1693718465.8669431,300,451.97735595703125
1693727915.5406604,325,475.8929138183594
1693737339.2907152,350,583.439208984375
1693746874.6296585,375,507.531494140625
1693756406.3489544,400,1101.5947265625
1693765918.0429106,425,567.0575561523438
1693775383.2271063,450,637.395751953125
1693784835.530527,475,788.88623046875
1693794318.7210732,500,658.6597900390625
1693803782.7107325,525,600.4756469726562
1693813265.6152558,550,614.9553833007812
1693822778.6341386,575,645.8023071289062
1693832295.7386756,600,678.9354858398438
